branch	sha12	reason
task/t1-compiler2-d3	20becf37c08f	merged-into-main
task/t1-compiler3-d1	6264126c30b2	merged-into-main
task/t1-compiler4	b8bba78127d6	merged-into-main
task/iter-013-batch-a1	5b340d0ccaa4	ledger-stale
task/iter-013-batch-a1-dual	be3cddace5ae	ledger-stale
task/iter-040-batch-c40	36877175d998	ledger-stale
task/iter-041-batch-c41	63aa0c7db96a	ledger-stale
task/iter-042-batch-c42	2424087886c8	ledger-stale
task/iter-044-batch-c44	9e154f0be741	ledger-stale
task/iter-046-batch-c46	cdcf70e52cc4	ledger-stale
task/iter-047-batch-c47	a19e0b658ddc	ledger-stale
task/iter-048-batch-c48	ba8b4a9f5acf	ledger-stale
task/iter-061-anchor-dedent	dd811d00791f	ledger-stale
task/iter-075-batch-c75	98987675085b	ledger-stale
task/iter-076-batch-c76-fix-d1-d2	d66d99104a78	ledger-stale
task/iter-077-c77fix-d1	4d0a723e2048	ledger-stale
task/iter-077-c77fix-d1-dual	2b69677696f9	ledger-stale
task/iter-081-batch-c81	e20d625e34ec	ledger-stale
task/iter-083-batch-c83-fix-d1-d2	619f49cb7df2	ledger-stale
task/iter-083-batch-c83-fix-d1-d2-dual	63146e521c22	ledger-stale
task/iter-087-batch-c87	26f64000fbfb	ledger-stale
task/iter-089-batch-c89-fix-d1	58869f7bd88d	ledger-stale
task/iter-093-batch-c93-fix-d1-d2	0075976addb8	ledger-stale
task/iter-095-batch-c95-fix-d1	36592aad6740	ledger-stale
task/iter-095-batch-c95-fix-d1-dual	93548827d30a	ledger-stale
task/iter-097-batch-c97-fix	b7e99f232faa	ledger-stale
task/iter-097-batch-c97-fix-dual	8538a900ef26	ledger-stale
task/iter-099-batch-c99-fix-d1	f4f2d94932d5	ledger-stale
task/iter-100-batch-c100	85c1a4b6b6af	ledger-superseded
task/iter-103-batch-c103	d570154729d3	ledger-stale
task/iter-103-batch-c103-dual	2ef6e013ab10	ledger-stale
task/iter-107-batch-c107-fix-d1	4edf8d072c40	ledger-stale
task/iter-109-batch-c109	68db045b6d9a	ledger-stale
task/iter-111-batch-c111	db6134778069	ledger-stale
task/iter-113-batch-c113-fix-d1-d2	ebfccd367e41	ledger-stale
task/iter-113-batch-c113-fix-d1-d2-dual	b1b483af781d	ledger-stale
task/iter-115-batch-c115-fix-d1	1bbc744e42f9	ledger-superseded
task/iter-119-batch-c119-fix	3531789b46c5	ledger-stale
task/iter-121-batch-c121-fix	43c1c3f13ca1	ledger-stale
task/iter-121-batch-c121-fix-dual	2667e6c2f420	ledger-stale
task/iter-125-batch-c125	3937c59207d3	ledger-stale
task/iter-127-batch-c127-fix-d1	d7f75ad9e60d	ledger-stale
task/iter-127-batch-c127-fix-d1-dual	b5944f83d241	ledger-stale
task/iter-129-batch-c129-fix-d1	29fb190e3bab	ledger-stale
task/iter-131-batch-c131-fix-d1	75d78d5e1362	ledger-stale
task/iter-132-batch-c132-fix-d1	987efea5960d	ledger-stale
task/iter-133-batch-c133	2becdac3022d	ledger-stale
task/iter-133-batch-c133-dual	144eed52739e	ledger-stale
task/iter-133-batch-c133-dual-dual	d0db5db70f96	ledger-stale
task/iter-134-batch-c134-fix	abb9cbbaf440	ledger-stale
task/iter-135-batch-c135-fix	8232281fca79	ledger-stale
task/iter-136-batch-c136	01559f1a3c3c	ledger-stale
task/iter-136-batch-c136-dual	1b97a90a2981	ledger-stale
task/iter-136-batch-c136-dual-dual	f27fa651e011	ledger-stale
task/iter-137-batch-c137-fix	edf6f4d56852	ledger-stale
task/iter-137-batch-c137-fix-dual	aec6dfbaa4d9	ledger-stale
task/iter-138-batch-c138-fix-d1	41f423b29412	ledger-stale
task/iter-139-batch-c139-fix	7807a3afa08c	ledger-stale
task/iter-139-batch-c139-fix-dual	16871f117478	ledger-stale
task/iter-140-batch-c140	264bd5a1a36a	ledger-stale
task/iter-142-batch-c142-fix-d1-d2	20298aec9bed	ledger-superseded
task/iter-144-batch-c144-fix	1109c7033cc1	ledger-stale
task/iter-145-batch-c145-fix-d1	d67cbb6073f8	ledger-superseded
task/iter-148-batch-c148	03464b87844a	ledger-stale
task/iter-149-batch-c149-fix-d1	297bf8d0455d	ledger-stale
task/iter-151-batch-c151-fix-d1	b1a476a05fc0	ledger-stale
task/iter-154-batch-c154-fix	5af9158628f5	ledger-stale
task/iter-158-batch-c158-fix	8555ce760cd8	ledger-stale
task/iter-160-batch-c160-fix	8d9cf224d405	ledger-stale
task/iter-160-batch-c160-fix-dual	9bb0930d82bb	ledger-stale
task/iter-162-batch-c162-fix-d1-d2	f6b392019c8f	ledger-stale
task/iter-166-batch-c166	61879dfd42f2	ledger-stale
task/iter-170-batch-c170-fix-d1	92759fd54d13	ledger-stale
task/iter-172-batch-c172-fix-d1	8e5df63abe3e	ledger-superseded
task/iter-174-batch-c174-fix	1fef081bde5f	ledger-stale
task/iter-174-batch-c174-fix-dual	95b0f93cf70d	ledger-stale
task/iter-176-batch-c176	1c2aa01e69ee	ledger-stale
task/iter-178-batch-c178-fix	0edbb5427f7b	ledger-stale
task/iter-182-batch-c182-fix	dea4ec81a4f1	ledger-stale
task/iter-184-batch-c184	813e8fa28229	ledger-stale
task/iter-186-batch-c186-fix	1cf798346479	ledger-stale
task/iter-188-batch-c188	b7df98127407	ledger-stale
task/iter-190-batch-c190	02368c1bc1af	ledger-stale
task/iter-194-batch-c194-fix	6f75ac8d916d	ledger-stale
task/iter-196-batch-c196	17bc70bb2162	ledger-stale
task/iter-198-batch-c198	6cd7fb3eda7c	ledger-stale
task/iter-200-batch-c200-fix	d25ba426814a	ledger-stale
task/iter-202-batch-c202-fix-d1-d2	25fde6ec022e	ledger-stale
task/iter-204-batch-c204	214d0893a38d	ledger-stale
task/iter-205-batch-c205	00130c1bfd7e	ledger-superseded
task/iter-233-batch-c233-fix	1ee331744380	ledger-stale
task/iter-235-batch-c235	0cc1390a01f4	ledger-stale
task/iter-237-batch-c237	1d7de8ea62da	ledger-stale
task/iter-243-batch-c243-fix	e7b23ce7fd67	ledger-stale
task/iter-245-batch-c245-fix-d1-d2	d4c86cd0272e	ledger-stale
task/iter-251-batch-c251	d011f01256d2	ledger-stale
task/iter-265-batch-c265	5acbfc0fd5a4	ledger-stale
task/iter-267-batch-c267-fix	1bfaf927c82b	ledger-stale
task/iter-272-batch-c272	53452b2d3fa9	ledger-stale
task/iter-273-batch-c273	1e84d609159f	ledger-stale
task/iter-274-batch-c274	59a77d808f20	ledger-stale
task/iter-283-batch-c283	77d49baadc5b	ledger-stale
